transaction_id,transaction_date,customer_id,customer_gender,customer_age_group,customer_segment,product_id,product_name,category,brand,quantity,unit_price,discount_pct,sales_amount,payment_method,sales_channel,region
T0000452,1/2/2024,C001578,Female,45-54,VIP,P1093,Puzzle,Toys,Brand 3,4,381.59,25,1144.77,Debit Card,In-Store,West
T0000602,1/2/2024,C022236,Other,45-54,VIP,P1106,Novel,Books,Brand 1,3,128.4,0,385.2,Cash,Online,Central
T0000770,1/5/2024,C010191,Male,55+,New,P1015,Bluetooth Speaker,Electronics,Brand 3,1,95,0,95,Cash,In-Store,North
T0000335,1/6/2024,C010102,Female,35-44,Loyal,P1012,Smartwatch,Electronics,Brand 3,1,485.11,25,363.83,Credit Card,Online,North
T0000864,1/6/2024,C013690,Male,18-24,VIP,P1115,Textbook,Books,Brand 1,1,318.53,0,318.53,Gift Card,Online,West
T0000342,1/7/2024,C012967,Female,55+,VIP,P1039,Rice,Groceries,Brand 3,1,343.7,5,326.51,Cash,In-Store,East
T0000566,1/7/2024,C021019,Other,55+,New,P1069,Cookware Set,Home,Brand 3,2,41.9,0,83.8,Gift Card,Online,North
T0000605,1/8/2024,C018940,Other,18-24,New,P1091,Puzzle,Toys,Brand 1,2,64.2,0,128.4,PayPal,Mobile App,South
T0000800,1/8/2024,C018938,Female,25-34,Loyal,P1078,Yoga Mat,Sports,Brand 3,5,41.65,0,208.25,PayPal,Mobile App,Central
T0000625,1/10/2024,C022965,Female,25-34,Loyal,P1069,Cookware Set,Home,Brand 3,1,41.9,0,41.9,Credit Card,In-Store,East
T0000451,1/12/2024,C008691,Male,25-34,New,P1058,Sunscreen,Beauty,Brand 1,2,102.01,0,204.02,Cash,In-Store,North
T0000320,1/13/2024,C000549,Other,35-44,Loyal,P1053,Lipstick,Beauty,Brand 2,3,470.05,10,1269.14,Credit Card,Mobile App,West
T0000410,1/13/2024,C008014,Male,45-54,Loyal,P1110,Cookbook,Books,Brand 2,1,43.11,0,43.11,PayPal,Online,South
T0000866,1/13/2024,C022714,Other,45-54,Returning,P1072,Storage Box,Home,Brand 3,1,103.36,15,87.86,Debit Card,In-Store,East
T0000031,1/16/2024,C003057,Male,25-34,VIP,P1108,Novel,Books,Brand 3,1,379,0,379,PayPal,In-Store,South
T0000618,1/16/2024,C024148,Other,18-24,New,P1067,Cookware Set,Home,Brand 1,1,74.76,15,63.55,Gift Card,In-Store,Central
T0000797,1/17/2024,C004719,Other,45-54,VIP,P1083,Dumbbells,Sports,Brand 2,2,168.79,0,337.58,Debit Card,Online,South
T0000259,1/18/2024,C012071,Female,18-24,VIP,P1105,Building Blocks,Toys,Brand 3,1,454.25,0,454.25,Gift Card,In-Store,North
T0000938,1/19/2024,C001036,Female,18-24,VIP,P1070,Storage Box,Home,Brand 1,2,493.51,5,937.67,PayPal,In-Store,West
T0000179,1/20/2024,C015066,Male,35-44,VIP,P1056,Perfume,Beauty,Brand 2,1,461.33,0,461.33,Gift Card,In-Store,West
T0000079,1/21/2024,C020360,Male,25-34,Returning,P1026,Dress,Clothing,Brand 2,2,393.66,5,747.95,PayPal,Mobile App,North
T0000485,1/21/2024,C022355,Male,45-54,Returning,P1066,Lamp,Home,Brand 3,5,273.63,0,1368.15,Debit Card,Mobile App,North
T0000509,1/21/2024,C001581,Other,18-24,VIP,P1084,Dumbbells,Sports,Brand 3,3,36.46,0,109.38,PayPal,In-Store,North
T0000963,1/21/2024,C001813,Male,35-44,Loyal,P1101,Doll,Toys,Brand 2,3,20.56,10,55.51,Credit Card,In-Store,East
T0000291,1/23/2024,C012975,Female,18-24,Returning,P1093,Puzzle,Toys,Brand 3,1,381.59,0,381.59,Gift Card,Online,North
T0000881,1/23/2024,C007613,Other,35-44,VIP,P1009,Laptop,Electronics,Brand 3,2,302.55,15,514.34,Gift Card,In-Store,East
T0000948,1/23/2024,C010372,Female,55+,VIP,P1076,Yoga Mat,Sports,Brand 1,1,365.86,0,365.86,Cash,Mobile App,North
T0000711,1/24/2024,C010875,Male,55+,Returning,P1061,Bedsheet,Home,Brand 1,2,197.4,0,394.8,Debit Card,Mobile App,Central
T0000052,1/25/2024,C021628,Male,45-54,Loyal,P1029,Sneakers,Clothing,Brand 2,1,298.25,0,298.25,Cash,Online,East
T0000756,1/25/2024,C015234,Other,18-24,Returning,P1016,T-Shirt,Clothing,Brand 1,2,95.79,0,191.58,Gift Card,In-Store,West
T0000545,1/26/2024,C012481,Male,18-24,New,P1014,Bluetooth Speaker,Electronics,Brand 2,1,110.11,30,77.08,Debit Card,In-Store,South
T0000491,1/27/2024,C021477,Female,35-44,Loyal,P1093,Puzzle,Toys,Brand 3,1,381.59,25,286.19,PayPal,In-Store,West
T0000727,1/27/2024,C024984,Other,55+,Loyal,P1024,Jacket,Clothing,Brand 3,2,186.35,15,316.79,Gift Card,Mobile App,Central
T0000075,1/28/2024,C012912,Other,55+,New,P1069,Cookware Set,Home,Brand 3,1,41.9,0,41.9,Credit Card,Mobile App,West
T0000206,1/28/2024,C013596,Male,45-54,Loyal,P1120,Children Book,Books,Brand 3,2,271.97,30,380.76,Debit Card,In-Store,North
T0000130,1/30/2024,C001508,Female,18-24,Loyal,P1116,Textbook,Books,Brand 2,2,436.37,0,872.74,Cash,In-Store,West
T0000359,1/30/2024,C024163,Other,25-34,VIP,P1051,Moisturizer,Beauty,Brand 3,3,484.94,0,1454.82,Gift Card,In-Store,West
T0000776,1/30/2024,C015426,Other,18-24,New,P1017,T-Shirt,Clothing,Brand 2,1,155.6,15,132.26,PayPal,Online,North
T0000854,1/30/2024,C015895,Other,18-24,New,P1021,Jeans,Clothing,Brand 3,1,307.87,25,230.9,Debit Card,Mobile App,West
T0000962,1/30/2024,C008468,Female,55+,Returning,P1018,T-Shirt,Clothing,Brand 3,1,264.75,0,264.75,Credit Card,Mobile App,West
